"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Both Sexes","46","Data tabulated by year of occurrence","Final figure, complete","2021","1644",""
"France","2019","Total","Both Sexes","47","Data tabulated by year of occurrence","Final figure, complete","2021","1890",""
"France","2019","Total","Both Sexes","48","Data tabulated by year of occurrence","Final figure, complete","2021","2037",""
"France","2019","Total","Both Sexes","49","Data tabulated by year of occurrence","Final figure, complete","2021","2189",""
"France","2019","Total","Both Sexes","50","Data tabulated by year of occurrence","Final figure, complete","2021","2407",""
"France","2019","Total","Both Sexes","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","14491",""
"France","2019","Total","Both Sexes","51","Data tabulated by year of occurrence","Final figure, complete","2021","2590",""
"France","2019","Total","Both Sexes","52","Data tabulated by year of occurrence","Final figure, complete","2021","2940",""
"France","2019","Total","Both Sexes","53","Data tabulated by year of occurrence","Final figure, complete","2021","3188",""
"France","2019","Total","Both Sexes","54","Data tabulated by year of occurrence","Final figure, complete","2021","3366",""
"France","2019","Total","Both Sexes","55","Data tabulated by year of occurrence","Final figure, complete","2021","3767",""
"France","2019","Total","Both Sexes","55 - 59","Data tabulated by year of occurrence","Final figure, complete","2021","21558",""
"France","2019","Total","Both Sexes","56","Data tabulated by year of occurrence","Final figure, complete","2021","3940",""
"France","2019","Total","Both Sexes","57","Data tabulated by year of occurrence","Final figure, complete","2021","4114",""
"France","2019","Total","Both Sexes","58","Data tabulated by year of occurrence","Final figure, complete","2021","4649",""
"France","2019","Total","Both Sexes","59","Data tabulated by year of occurrence","Final figure, complete","2021","5088",""
"France","2019","Total","Both Sexes","60","Data tabulated by year of occurrence","Final figure, complete","2021","5455",""
"France","2019","Total","Both Sexes","60 - 64","Data tabulated by year of occurrence","Final figure, complete","2021","31013",""
"France","2019","Total","Both Sexes","61","Data tabulated by year of occurrence","Final figure, complete","2021","5850",""
"France","2019","Total","Both Sexes","62","Data tabulated by year of occurrence","Final figure, complete","2021","6128",""
"France","2019","Total","Both Sexes","63","Data tabulated by year of occurrence","Final figure, complete","2021","6642",""
"France","2019","Total","Both Sexes","64","Data tabulated by year of occurrence","Final figure, complete","2021","6938",""
"France","2019","Total","Both Sexes","65","Data tabulated by year of occurrence","Final figure, complete","2021","7410",""
"France","2019","Total","Both Sexes","65 - 69","Data tabulated by year of occurrence","Final figure, complete","2021","41764",""
"France","2019","Total","Both Sexes","66","Data tabulated by year of occurrence","Final figure, complete","2021","7826",""
"France","2019","Total","Both Sexes","67","Data tabulated by year of occurrence","Final figure, complete","2021","8284",""
"France","2019","Total","Both Sexes","68","Data tabulated by year of occurrence","Final figure, complete","2021","8711",""
"France","2019","Total","Both Sexes","69","Data tabulated by year of occurrence","Final figure, complete","2021","9533",""
"France","2019","Total","Both Sexes","70","Data tabulated by year of occurrence","Final figure, complete","2021","10046",""
"France","2019","Total","Both Sexes","70 - 74","Data tabulated by year of occurrence","Final figure, complete","2021","50880",""
"France","2019","Total","Both Sexes","71","Data tabulated by year of occurrence","Final figure, complete","2021","10686",""
"France","2019","Total","Both Sexes","72","Data tabulated by year of occurrence","Final figure, complete","2021","10960",""
"France","2019","Total","Both Sexes","73","Data tabulated by year of occurrence","Final figure, complete","2021","9927",""
